ZCTA5CE10,population,household_income,not_citizen_over_pop,n_killed_total,n_injured_total,n_killed_by_pop,n_injured_by_pop,year
33843,12049,3428,0.076520873,0,1,0,8.30E-05,2016
33844,35692,11755,0.13546453,1,4,2.80E-05,0.00011207,2017
33844,35692,11755,0.13546453,2,1,5.60E-05,2.80E-05,2016
33844,35692,11755,0.13546453,1,1,2.80E-05,2.80E-05,2018
33844,35692,11755,0.13546453,2,1,5.60E-05,2.80E-05,2015
33844,35692,11755,0.13546453,1,2,2.80E-05,5.60E-05,2014
33847,169,33,0.017751479,0,0,0,0,1970
33860,23631,7732,0.073801363,0,3,0,0.000126952,2015
33860,23631,7732,0.073801363,1,0,4.23E-05,0,2017
33860,23631,7732,0.073801363,0,1,0,4.23E-05,2014
33873,14451,4531,0.059373054,0,0,0,0,1970
33884,31486,12033,0.029600457,0,2,0,6.35E-05,2014
33884,31486,12033,0.029600457,1,1,3.18E-05,3.18E-05,2015
33884,31486,12033,0.029600457,0,0,0,0,2016
33921,1001,379,0.164835165,0,0,0,0,1970
33924,225,64,0.226666667,0,0,0,0,1970
33629,25591,10382,0.020632254,1,0,3.91E-05,0,2014
33629,25591,10382,0.020632254,1,1,3.91E-05,3.91E-05,2015
33703,24784,10479,0.040671401,0,1,0,4.03E-05,2015
33703,24784,10479,0.040671401,1,0,4.03E-05,0,2016
33703,24784,10479,0.040671401,0,1,0,4.03E-05,2014
33712,25072,9406,0.026922463,5,6,0.000199426,0.000239311,2016
33712,25072,9406,0.026922463,8,2,0.000319081,7.98E-05,2015
33712,25072,9406,0.026922463,5,5,0.000199426,0.000199426,2017
33712,25072,9406,0.026922463,4,2,0.000159541,7.98E-05,2014
33606,18926,7880,0.063933214,0,1,0,5.28E-05,2014
33606,18926,7880,0.063933214,0,1,0,5.28E-05,2015
33606,18926,7880,0.063933214,0,1,0,5.28E-05,2017
33606,18926,7880,0.063933214,0,1,0,5.28E-05,2018
33606,18926,7880,0.063933214,0,1,0,5.28E-05,2016
33513,11995,3766,0.031929971,0,5,0,0.00041684,2014
33538,4435,1880,0.004509583,1,0,0.000225479,0,2016
33538,4435,1880,0.004509583,0,1,0,0.000225479,2017
33547,24707,7748,0.034322257,0,0,0,0,2017
33547,24707,7748,0.034322257,0,0,0,0,2014
33547,24707,7748,0.034322257,0,0,0,0,2015
33547,24707,7748,0.034322257,0,0,0,0,2016
33616,15334,6355,0.059345246,0,0,0,0,2014
33616,15334,6355,0.059345246,1,2,6.52E-05,0.000130429,2017
33068,51978,15545,0.18282735,0,6,0,0.000115433,2014
33068,51978,15545,0.18282735,3,6,5.77E-05,0.000115433,2017
33068,51978,15545,0.18282735,1,2,1.92E-05,3.85E-05,2016
33068,51978,15545,0.18282735,2,0,3.85E-05,0,2015
33109,431,264,0.104408353,0,0,0,0,1970
33142,56468,18575,0.236452504,5,36,8.85E-05,0.000637529,2017
33142,56468,18575,0.236452504,14,24,0.000247928,0.000425019,2015
33142,56468,18575,0.236452504,7,14,0.000123964,0.000247928,2014
33142,56468,18575,0.236452504,14,16,0.000247928,0.000283346,2016
33142,56468,18575,0.236452504,1,2,1.77E-05,3.54E-05,2018
33144,29466,8872,0.303705966,4,4,0.00013575,0.00013575,2015
33144,29466,8872,0.303705966,3,0,0.000101812,0,2014
33144,29466,8872,0.303705966,0,1,0,3.39E-05,2016
33144,29466,8872,0.303705966,0,1,0,3.39E-05,2017
33189,27231,7763,0.170651096,1,0,3.67E-05,0,2015
33189,27231,7763,0.170651096,0,3,0,0.000110169,2017
33189,27231,7763,0.170651096,4,4,0.000146891,0.000146891,2016
33189,27231,7763,0.170651096,0,0,0,0,2014
33323,21774,6823,0.106135758,0,1,0,4.59E-05,2014
33323,21774,6823,0.106135758,1,0,4.59E-05,0,2018
33323,21774,6823,0.106135758,1,3,4.59E-05,0.000137779,2015
33332,11147,3175,0.124786938,0,0,0,0,1970
33411,70441,23765,0.087860763,0,6,0,8.52E-05,2017
33411,70441,23765,0.087860763,0,3,0,4.26E-05,2015
33411,70441,23765,0.087860763,3,1,4.26E-05,1.42E-05,2014
33411,70441,23765,0.087860763,0,3,0,4.26E-05,2016
